y	n	f	money	sex	love	work
1	1	9	85	1	1	1
1	1	10	85	1	1	1
0	1	2	85	1	2	4
0	1	3	85	1	2	4
0	1	4	85	1	2	4
0	1	5	85	1	2	4
0	1	6	85	1	2	4
1	1	7	85	1	2	4
1	1	8	85	1	2	4
1	1	9	85	1	2	4
1	1	10	85	1	2	4
0	1	2	85	1	3	4
0	1	3	85	1	3	4
0	1	4	85	1	3	4
0	1	5	85	1	3	4
0	1	6	85	1	3	4
0	1	7	85	1	3	4
1	1	8	85	1	3	4
1	1	9	85	1	3	4
1	1	10	85	1	3	4
0	1	2	88	1	1	2
0	1	3	88	1	1	2
1	1	4	88	1	1	2
1	1	5	88	1	1	2
1	1	6	88	1	1	2
1	1	7	88	1	1	2
1	1	8	88	1	1	2
1	1	9	88	1	1	2
1	1	10	88	1	1	2
0	1	2	90	1	2	2
0	1	3	90	1	2	2
0	1	4	90	1	2	2
0	1	5	90	1	2	2
0	1	6	90	1	2	2
1	1	7	90	1	2	2
1	1	8	90	1	2	2
1	1	9	90	1	2	2
1	1	10	90	1	2	2
0	1	2	112	1	3	2
0	1	3	112	1	3	2
0	1	4	112	1	3	2
0	1	5	112	1	3	2
1	1	6	112	1	3	2
1	1	7	112	1	3	2
1	1	8	112	1	3	2
1	1	9	112	1	3	2
1	1	10	112	1	3	2
0	1	2	115	1	3	4
0	1	3	115	1	3	4
0	1	4	115	1	3	4
0	1	5	115	1	3	4
0	1	6	115	1	3	4
0	1	7	115	1	3	4
0	1	8	115	1	3	4
1	1	9	115	1	3	4
1	1	10	115	1	3	4
0	2	2	175	1	3	4
0	2	3	175	1	3	4
0	2	4	175	1	3	4
0	2	5	175	1	3	4
0	2	6	175	1	3	4
0	2	7	175	1	3	4
1	2	8	175	1	3	4
2	2	9	175	1	3	4
2	2	10	175	1	3	4
